Waf: Entering directory `/home/zsh/example/build'
Waf: Leaving directory `/home/zsh/example/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.251s)
30.6102 0 55 100 
30.6169 0 45 100 
30.6184 0 42 100 
30.6202 0 55 100 
30.7 0 44 100 
30.8 0 14 100 
30.9 0 40 100 
30.9394 0 14 100 
30.9411 0 16 100 
30.9869 0 40 100 
30.9952 0 11 100 
30.9969 0 40 100 
30.9984 0 11 100 
31.0015 0 42 100 
31.0033 0 55 100 
31.0069 0 40 100 
31.0079 0 44 100 
31.0084 0 11 100 
31.0096 0 85 100 
31.0169 0 40 100 
31.0184 0 11 100 
31.0269 0 40 100 
31.0284 0 11 100 
31.0369 0 40 100 
31.0384 0 11 100 
31.0469 0 40 100 
31.0484 0 11 100 
31.0569 0 40 100 
31.0584 0 11 100 
31.0669 0 40 100 
31.0684 0 11 100 
31.0769 0 40 100 
31.0784 0 11 100 
31.0869 0 40 100 
31.0884 0 11 100 
31.0969 0 40 100 
31.0984 0 11 100 
31.1015 0 42 100 
31.1032 0 55 100 
31.1069 0 40 100 
31.1084 0 11 100 
31.1169 0 40 100 
31.1184 0 11 100 
31.1269 0 40 100 
31.1284 0 11 100 
31.2015 0 20 100 
31.3015 0 20 100 
31.4015 0 20 100 
31.5015 0 20 100 
31.6015 0 20 100 
31.7 0 45 100 
31.8 0 97 100 
31.9 0 90 100 
32 0 45 100 
32.1015 0 85 100 
32.1103 0 45 100 
32.1127 0 55 100 
32.1203 0 45 100 
32.1218 0 55 100 
32.2 0 14 100 
32.202 0 20 100 
32.2113 0 42 100 
32.212 0 20 100 
32.2135 0 42 100 
32.222 0 20 100 
32.2235 0 42 100 
32.232 0 20 100 
32.2335 0 42 100 
32.242 0 20 100 
32.2435 0 42 100 
32.3 0 40 100 
32.4 0 40 100 
32.5 0 45 100 
32.5289 0 14 100 
32.5307 0 16 100 
32.6 0 45 100 
32.7 0 45 100 
32.8 0 97 100 
32.9 0 45 100 
33 0 45 100 
33.0301 0 40 100 
33.0318 0 11 100 
33.0401 0 40 100 
33.0416 0 11 100 
33.1 0 97 100 
33.2054 0 64 100 
33.3015 0 64 100 
33.4015 0 42 100 
33.5 0 16 100 
33.6 0 85 100 
33.7015 0 16 100 
33.8113 0 46 100 
33.9015 0 46 100 
34.0015 0 85 100 
34.0089 0 85 100 
34.0106 0 44 100 
34.0189 0 85 100 
34.0204 0 44 100 
34.0289 0 85 100 
34.029 0 64 100 
34.0304 0 44 100 
34.0332 0 19 100 
34.0389 0 85 100 
34.039 0 64 100 
34.0404 0 44 100 
34.0405 0 19 100 
34.0489 0 85 100 
34.0504 0 44 100 
34.0589 0 85 100 
34.0604 0 44 100 
34.0689 0 85 100 
34.0704 0 44 100 
34.1 0 97 100 
34.1219 0 45 100 
34.1236 0 55 100 
34.1319 0 45 100 
34.1334 0 55 100 
34.1419 0 45 100 
34.1434 0 55 100 
34.1519 0 45 100 
34.1534 0 55 100 
34.1619 0 45 100 
34.1634 0 55 100 
34.2 0 16 100 
34.2278 0 90 100 
34.2294 0 46 100 
34.2606 0 44 100 
34.2711 0 42 100 
34.2793 0 9 100 
34.2811 0 42 100 
34.2826 0 9 100 
34.2832 0 19 100 
34.2905 0 19 100 
34.2911 0 42 100 
34.2926 0 9 100 
34.3 0 38 100 
34.3011 0 42 100 
34.3026 0 9 100 
34.3111 0 42 100 
34.3126 0 9 100 
34.3211 0 42 100 
34.3226 0 9 100 
34.4015 0 9 100 
34.5 0 44 100 
34.589 0 16 100 
34.5972 0 14 100 
34.599 0 16 100 
34.6 0 35 100 
34.6005 0 14 100 
34.609 0 16 100 
34.6105 0 14 100 
34.619 0 16 100 
